tittle,feature
"馒头","高热量"
"燕麦片","高热量"
"燕麦片","高糖"
"燕麦片","高蛋白"
"燕麦片","高纤维"
"油条","高热量"
"油条","高糖"
"花卷","高热量"
"包子(猪肉馅)","高热量"
"面包","高热量"
"面包","高糖"
"麦片","高热量"
"麦片","高糖"
"麦片","高蛋白"
"麦片","高纤维"
"水果玉米","高纤维"
"饺子","高热量"
"桂格 即食燕麦片(经典原味)","高热量"
"桂格 即食燕麦片(经典原味)","高糖"
"桂格 即食燕麦片(经典原味)","高蛋白"
"桂格 即食燕麦片(经典原味)","高纤维"
"大米","高热量"
"大米","高糖"
"珍珠玉米","高纤维"
"方便面","高热量"
"方便面","高糖"
"方便面","高脂肪"
"甜玉米","高纤维"
"面包世家 全麦欧包","高蛋白"
"面包世家 全麦欧包","高纤维"
"面条(生)","高热量"
"面条(生)","高糖"
"饺子/馄饨(半荤)","高热量"
"饺子/馄饨(荤馅)","高热量"
"麦当劳 双层吉士汉堡","高热量"
"麦当劳 双层吉士汉堡","高蛋白"
"意大利面(通心粉)","高热量"
"意大利面(通心粉)","高糖"
"意大利面(通心粉)","高蛋白"
"桃李 醇熟切片面包","高热量"
"油饼","高热量"
"油饼","高脂肪"
"粉丝(干)","高热量"
"粉丝(干)","高糖"
"三明治(夹鸡蛋、干酪)","高热量"
"三明治(夹鸡蛋、干酪)","高蛋白"
"红豆","高热量"
"红豆","高糖"
"红豆","高蛋白"
"红豆","高纤维"
"比萨饼(夹奶酪、肉和蔬菜)","高热量"
"比萨饼(夹奶酪、肉和蔬菜)","高蛋白"
"糙米","高热量"
"糙米","高糖"
"牛角面包","高热量"
"牛角面包","高糖"
"米粉(干)","高热量"
"米粉(干)","高糖"
"包子(三鲜馅)","高热量"
"籼米粉","高热量"
"籼米粉","高糖"
"肯德基 香辣鸡腿堡","高热量"
"肯德基 香辣鸡腿堡","高蛋白"
"三明治(夹火腿、干酪)","高热量"
"三明治(夹火腿、干酪)","高蛋白"
"黑米","高热量"
"黑米","高糖"
"黑米","高纤维"
"单层汉堡(夹肉饼，加调料酱和蔬菜)","高热量"
"单层汉堡(夹肉饼，加调料酱和蔬菜)","高蛋白"
"麦当劳 麦辣鸡腿汉堡","高热量"
"麦当劳 麦辣鸡腿汉堡","高蛋白"
"小米","高热量"
"小米","高糖"
"烙饼","高热量"
"烙饼","高糖"
"挂面","高热量"
"挂面","高糖"
"挂面","高蛋白"
"曼可顿 全麦高纤维面包","高热量"
"曼可顿 全麦高纤维面包","高蛋白"
"曼可顿 全麦高纤维面包","高纤维"
"麦当劳 那么大鸡排","高热量"
"麦当劳 那么大鸡排","高蛋白"
"麦当劳 原味板烧鸡腿堡","高热量"
"麦当劳 原味板烧鸡腿堡","高蛋白"
"藜麦","高热量"
"藜麦","高糖"
"藜麦","高蛋白"
"藜麦","高纤维"
"魔芋丝-关东煮","低热量"
"黑芝麻汤圆","高热量"
"鹰嘴豆(熟)","高纤维"
"世壮 即食燕麦保健片","高热量"
"世壮 即食燕麦保健片","高糖"
"世壮 即食燕麦保健片","高蛋白"
"世壮 即食燕麦保健片","高纤维"
"拉面","高热量"
"拉面","高糖"
"麦田村 牌 荞麦面","高热量"
"麦田村 牌 荞麦面","高糖"
"麦田村 牌 荞麦面","高蛋白"
"黄油面包","高热量"
"黄油面包","高糖"
"红烧牛肉方便面(面饼+调味料+蔬菜+肉酱)","高热量"
"红烧牛肉方便面(面饼+调味料+蔬菜+肉酱)","高糖"
"红烧牛肉方便面(面饼+调味料+蔬菜+肉酱)","高蛋白"
"早早麦 水果燕麦片(苹果葡萄口味)","高热量"
"早早麦 水果燕麦片(苹果葡萄口味)","高糖"
"超级 麦片不加蔗糖麦片","高热量"
"超级 麦片不加蔗糖麦片","高糖"
"Gardenia 全麦面包","高热量"
"Gardenia 全麦面包","高蛋白"
"Gardenia 全麦面包","高纤维"
"Naturegut 纯生物全麦面粉","高热量"
"Naturegut 纯生物全麦面粉","高糖"
"Naturegut 纯生物全麦面粉","高蛋白"
"小麦粉(富强粉，特一粉)","高热量"
"小麦粉(富强粉，特一粉)","高糖"
"小麦粉(富强粉，特一粉)","高蛋白"
"Gilgen 法式长面包","高热量"
"该粉","高热量"
"该粉","高糖"
"星巴克 全麦面包圈","高热量"
"星巴克 全麦面包圈","高糖"
"星巴克 全麦面包圈","高蛋白"
"星巴克 全麦面包圈","高纤维"
"President's Choice 总统之选 总统的选择 夏巴塔香肠小面包","高热量"
"President's Choice 总统之选 总统的选择 夏巴塔香肠小面包","高糖"
"President's Choice 总统之选 总统的选择 夏巴塔香肠小面包","高纤维"
"博大 荞麦面","高热量"
"博大 荞麦面","高糖"
"绿豆(干)","高热量"
"绿豆(干)","高糖"
"绿豆(干)","高蛋白"
"绿豆(干)","高纤维"
"水面筋(泡发后)","高蛋白"
"麦当劳 猪柳蛋麦满分","高热量"
"麦当劳 猪柳蛋麦满分","高蛋白"
"小麦面粉(特制)","高热量"
"小麦面粉(特制)","高糖"
"小麦面粉(特制)","高蛋白"
"麦当劳 火腿扒麦满分","高热量"
"麦当劳 火腿扒麦满分","高蛋白"
"Bonarea 龙利鱼","高蛋白"
"桂花藕粉","高热量"
"桂花藕粉","高糖"
"麦当劳 巨无霸汉堡","高热量"
"麦当劳 巨无霸汉堡","高蛋白"
"肯德基 新奥尔良烤鸡腿堡","高热量"
"肯德基 新奥尔良烤鸡腿堡","高蛋白"
"餐包","高热量"
"餐包","高糖"
"玉米淀粉","高热量"
"玉米淀粉","高糖"
"薄荷健康 高纤奇亚籽全麦苏打饼干","高热量"
"薄荷健康 高纤奇亚籽全麦苏打饼干","高糖"
"薄荷健康 高纤奇亚籽全麦苏打饼干","高蛋白"
"薄荷健康 高纤奇亚籽全麦苏打饼干","高纤维"
"紫米","高热量"
"紫米","高糖"
"味都 荞麦面","高热量"
"味都 荞麦面","高糖"
"味都 荞麦面","高蛋白"
"家乐福 红薯粉","高热量"
"家乐福 红薯粉","高糖"
"春卷","高热量"
"春卷","高脂肪"
"莫利 直身意大利面","高热量"
"莫利 直身意大利面","高糖"
"莫利 直身意大利面","高蛋白"
"曼可顿 超醇切片面包","高热量"
"曼可顿 超醇切片面包","高蛋白"
"鸡蛋","高蛋白"
"鸡胸肉","高蛋白"
"荷包蛋(油煎)","高蛋白"
"猪肉(瘦)","高蛋白"
"虾","高蛋白"
"鸡蛋(白皮)","高蛋白"
"鸡蛋(土鸡)","高蛋白"
"鸡腿","高蛋白"
"无油煎蛋","高蛋白"
"鸡肉","高蛋白"
"冻虾仁","高蛋白"
"鹌鹑蛋","高蛋白"
"去皮鸡腿","高蛋白"
"鸡蛋(红皮)","高蛋白"
"猪小排","高热量"
"猪小排","高脂肪"
"猪小排","高蛋白"
"火腿肠","高热量"
"火腿肠","高蛋白"
"水煮蛋白","高蛋白"
"巴沙鱼","高蛋白"
"牛肉(肥瘦)","高蛋白"
"酱牛肉","高热量"
"酱牛肉","高蛋白"
"麦当劳 麦辣鸡翅","高热量"
"麦当劳 麦辣鸡翅","高脂肪"
"麦当劳 麦辣鸡翅","高蛋白"
"鲑鱼(三文鱼)","高蛋白"
"基围虾","高蛋白"
"鸭蛋","高蛋白"
"猪肉(肥瘦)","高热量"
"猪肉(肥瘦)","高脂肪"
"猪肉(肥瘦)","高蛋白"
"羊肉串(烤)","高热量"
"羊肉串(烤)","高蛋白"
"火腿","高热量"
"火腿","高脂肪"
"火腿","高蛋白"
"鸭腿","高热量"
"鸭腿","高脂肪"
"鸭腿","高蛋白"
"烤鸡","高热量"
"烤鸡","高蛋白"
"鸡蛋黄","高热量"
"鸡蛋黄","高脂肪"
"鸡蛋黄","高蛋白"
"午餐肉","高热量"
"咸鸭蛋","高蛋白"
"牛肉干","高热量"
"牛肉干","高脂肪"
"牛肉干","高蛋白"
"香肠","高热量"
"香肠","高脂肪"
"香肠","高蛋白"
"鱼丸","高蛋白"
"鸭肉(家养，含皮和肉)","高热量"
"鸭肉(家养，含皮和肉)","高脂肪"
"鸭肉(家养，含皮和肉)","高蛋白"
"热狗肠","高热量"
"热狗肠","高脂肪"
"热狗肠","高蛋白"
"五花肉","高热量"
"五花肉","高脂肪"
"猪肝","高蛋白"
"羊肉(熟)","高热量"
"羊肉(熟)","高蛋白"
"鸭脖","高热量"
"鸭脖","高蛋白"
"鸡爪","高热量"
"鸡爪","高蛋白"
"猪肉松","高热量"
"猪肉松","高蛋白"
"麦当劳 麦乐鸡","高热量"
"麦当劳 麦乐鸡","高蛋白"
"大肉肠","高热量"
"大肉肠","高脂肪"
"大肉肠","高蛋白"
"爽肥牛 肥牛卷","高热量"
"爽肥牛 肥牛卷","高蛋白"
"草鱼","高蛋白"
"猪大骨头","高蛋白"
"鲈鱼","高蛋白"
"羊肉(肥瘦)","高热量"
"羊肉(肥瘦)","高蛋白"
"竹园 牌粗粉丝","高热量"
"竹园 牌粗粉丝","高糖"
"業務 魔芋卷","低热量"
"马铃薯全粉","高热量"
"马铃薯全粉","高糖"
"福隆 靓生粉","高热量"
"福隆 靓生粉","高糖"
"Sam Hak 韩式小年糕","低热量"
"雀巢 美极土豆泥爱逗杯(原味)","高热量"
"雀巢 美极土豆泥爱逗杯(原味)","高糖"
"雀巢 美极土豆泥爱逗杯(原味)","高纤维"
"MACARONI 通心粉","高热量"
"MACARONI 通心粉","高糖"
"MACARONI 通心粉","高蛋白"
"雪健 馒头用小麦粉","高热量"
"雪健 馒头用小麦粉","高糖"
"雪健 馒头用小麦粉","高蛋白"
"龙须 牌 红薯粉条","高热量"
"龙须 牌 红薯粉条","高糖"
"瓦罐鸡汤(纯肉)","高蛋白"
"墨鱼丸","高蛋白"
"猪血","高蛋白"
"仲夏夜 鸡胸肉丸 (原味)","高蛋白"
"海参","高蛋白"
"肯德基 香辣鸡翅","高热量"
"肯德基 香辣鸡翅","高脂肪"
"肯德基 香辣鸡翅","高蛋白"
"猪肉(肋条肉)","高热量"
"猪肉(肋条肉)","高脂肪"
"生蚝","高蛋白"
"脆皮肠","高热量"
"脆皮肠","高脂肪"
"脆皮肠","高蛋白"
"牛肉(腑肋)","高蛋白"
"咸鸭蛋(煮)","高蛋白"
"羊肉(瘦)","高蛋白"
"虾皮","高蛋白"
"黄鱼(小黄花鱼)","高蛋白"
"去皮鸭肉","高蛋白"
"金枪鱼(盐水浸)","高蛋白"
"酱鸭","高热量"
"酱鸭","高蛋白"
"梭子蟹","高蛋白"
"白姑鱼(鱼)","高蛋白"
"清炒空心菜","低热量"
"杂粮煎饼","高热量"
"杂粮煎饼","高蛋白"
"蒜蓉冬瓜","低热量"
"黑椒牛排","高蛋白"
"红烧排骨","高热量"
"清炒花菜","低热量"
"千层饼","高热量"
"奶油泡芙","高热量"
"奶油泡芙","高脂肪"
"汇润 魔芋丝 老","低热量"
"DovesFarm 面粉(self-raising)","高热量"
"DovesFarm 面粉(self-raising)","高糖"
"富亿农 小甘薯","高热量"
"富亿农 小甘薯","高纤维"
"张力生 切片年糕","高热量"
"张力生 切片年糕","高糖"
"王氏 红枣莲子藕粉","高热量"
"王氏 红枣莲子藕粉","高糖"
"乐购 PLAINFLOUR(中筋粉)","高热量"
"乐购 PLAINFLOUR(中筋粉)","高糖"
"乐购 PLAINFLOUR(中筋粉)","高蛋白"
"马玉山 食物纤维台湾香芋杯汤","高热量"
"马玉山 食物纤维台湾香芋杯汤","高糖"
"马玉山 食物纤维台湾香芋杯汤","高纤维"
"秋菊 牌水磨粘米粉","高热量"
"秋菊 牌水磨粘米粉","高糖"
"日阳 牌糯米粉","高热量"
"日阳 牌糯米粉","高糖"
"洲星 马蹄粉","高热量"
"洲星 马蹄粉","高糖"
"脱脂牛奶","低热量"
"德亚 脱脂牛奶","低热量"
"奶酪","高热量"
"奶酪","高脂肪"
"奶酪","高蛋白"
"脱脂奶粉","高热量"
"脱脂奶粉","高糖"
"脱脂奶粉","高蛋白"
"全脂牛奶粉","高热量"
"全脂牛奶粉","高糖"
"全脂牛奶粉","高脂肪"
"全脂牛奶粉","高蛋白"
"百吉福 芝士片","高热量"
"百吉福 芝士片","高脂肪"
"百吉福 芝士片","高蛋白"
"法国百吉福 低脂芝士片","高蛋白"
"伊利 脱脂牛奶","低热量"
"百吉福 减脂芝士片","高热量"
"百吉福 减脂芝士片","高蛋白"
"德运 全脂奶粉","高热量"
"德运 全脂奶粉","高脂肪"
"德运 全脂奶粉","高蛋白"
"maxigenes Maxigenes 蓝胖子奶粉","高热量"
"maxigenes Maxigenes 蓝胖子奶粉","高脂肪"
"maxigenes Maxigenes 蓝胖子奶粉","高蛋白"
"德运 脱脂奶粉","高热量"
"德运 脱脂奶粉","高糖"
"德运 脱脂奶粉","高蛋白"
"奶片","高热量"
"奶片","高糖"
"奶片","高脂肪"
"奶片","高蛋白"
"蒙牛 脱脂纯牛奶","低热量"
"美可卓 脱脂高钙奶粉","高热量"
"美可卓 脱脂高钙奶粉","高糖"
"美可卓 脱脂高钙奶粉","高蛋白"
"光明 优倍 0脂肪 高品质脱脂鲜牛奶","低热量"
"蒙牛 新养道零乳糖牛奶(脱脂型)","低热量"
"全脂奶粉","高热量"
"全脂奶粉","高糖"
"全脂奶粉","高脂肪"
"全脂奶粉","高蛋白"
"安佳 脱脂纯牛奶","低热量"
"蒙牛 早餐奶酪","高热量"
"蒙牛 早餐奶酪","高蛋白"
"欧德堡 超高温灭菌脱脂纯牛奶","低热量"
"乐芝牛 8粒装奶酪","高热量"
"乐芝牛 8粒装奶酪","高脂肪"
"乐芝牛 8粒装奶酪","高蛋白"
"德亚 脱脂牛奶(老款)","低热量"
"哈纳斯乳业 哈纳斯全脂淡奶粉","高热量"
"哈纳斯乳业 哈纳斯全脂淡奶粉","高脂肪"
"哈纳斯乳业 哈纳斯全脂淡奶粉","高蛋白"
"番茄","低热量"
"生菜","低热量"
"黄瓜","低热量"
"西兰花","低热量"
"圣女果","低热量"
"金针菇","低热量"
"大白菜","低热量"
"小白菜","低热量"
"上海青","低热量"
"娃娃菜","低热量"
"卷心菜(包菜，圆白菜)","低热量"
"南瓜","低热量"
"红枣","高热量"
"红枣","高糖"
"红枣","高纤维"
"青椒","低热量"
"香菇(鲜)","低热量"
"木耳(水发)","低热量"
"豆芽(绿豆芽)","低热量"
"哈密瓜","低热量"
"菠菜","低热量"
"冬瓜","低热量"
"白萝卜","低热量"
"水果黄瓜","低热量"
"花菜","低热量"
"石榴","高纤维"
"油麦菜","低热量"
"西瓜","低热量"
"西柚","低热量"
"杏鲍菇","低热量"
"白蘑菇(鲜)","低热量"
"结球甘蓝(绿)","低热量"
"小葱","低热量"
"荷兰豆","低热量"
"鸡毛菜","低热量"
"红薯叶","低热量"
"四季豆","低热量"
"秋黄瓜","低热量"
"苦瓜","低热量"
"大葱","低热量"
"红萝卜","低热量"
"佛手瓜","低热量"
"芥蓝","低热量"
"莴笋叶","低热量"
"豇豆","低热量"
"生菜(叶用莴苣)","低热量"
"奶白菜","低热量"
"奶柿子","低热量"
"豌豆苗","低热量"
"芥菜","低热量"
"芹菜(药芹)","低热量"
"百合(干)","高热量"
"百合(干)","高糖"
"油豆角","低热量"
"大白菜(白梗)","低热量"
"南瓜(栗面)","低热量"
"苋菜(紫)","低热量"
"韭黄","低热量"
"油菜心","低热量"
"苦苣菜","低热量"
"豆角(白)","低热量"
"节瓜","低热量"
"汤菜","低热量"
"芹菜叶","低热量"
"苋菜(绿)","低热量"
"苦菜","高纤维"
"芥菜(大叶)","低热量"
"葫芦","低热量"
"玉米笋","低热量"
"番石榴","高纤维"
"库尔勒梨","高纤维"
"豆浆","低热量"
"核桃(干)","高热量"
"核桃(干)","高脂肪"
"核桃(干)","高蛋白"
"核桃(干)","高纤维"
"豆浆(甜)","低热量"
"栗子","高热量"
"花生","高热量"
"花生","高脂肪"
"花生","高蛋白"
"花生","高纤维"
"巴旦木 (扁桃仁)","高热量"
"巴旦木 (扁桃仁)","高脂肪"
"巴旦木 (扁桃仁)","高蛋白"
"巴旦木 (扁桃仁)","高纤维"
"千张","高热量"
"千张","高蛋白"
"腰果(熟)","高热量"
"腰果(熟)","高脂肪"
"腰果(熟)","高蛋白"
"腰果(熟)","高纤维"
"黑芝麻","高热量"
"黑芝麻","高脂肪"
"黑芝麻","高蛋白"
"黑芝麻","高纤维"
"腰果","高热量"
"腰果","高脂肪"
"腰果","高蛋白"
"腰果","高纤维"
"豆腐干(白干)","高蛋白"
"豆腐皮(干)","高热量"
"豆腐皮(干)","高脂肪"
"豆腐皮(干)","高蛋白"
"纯豆浆粉","高热量"
"纯豆浆粉","高糖"
"纯豆浆粉","高蛋白"
"杏仁","高热量"
"杏仁","高脂肪"
"杏仁","高蛋白"
"杏仁","高纤维"
"开心果","高热量"
"开心果","高脂肪"
"开心果","高蛋白"
"开心果","高纤维"
"毛豆","高蛋白"
"毛豆","高纤维"
"葵花子(奶油香瓜子)","高热量"
"葵花子(奶油香瓜子)","高脂肪"
"葵花子(奶油香瓜子)","高蛋白"
"葵花子(奶油香瓜子)","高纤维"
"花生米(炒)","高热量"
"花生米(炒)","高脂肪"
"花生米(炒)","高蛋白"
"花生米(炒)","高纤维"
"花生米(生)","高热量"
"花生米(生)","高脂肪"
"花生米(生)","高蛋白"
"花生米(生)","高纤维"
"黄豆","高热量"
"黄豆","高蛋白"
"黄豆","高纤维"
"黑豆","高热量"
"黑豆","高蛋白"
"黑豆","高纤维"
"豆腐干(香干)","高蛋白"
"核桃(鲜)","高热量"
"核桃(鲜)","高脂肪"
"核桃(鲜)","高蛋白"
"核桃(鲜)","高纤维"
"豆腐花","低热量"
"每日坚果","高热量"
"每日坚果","高脂肪"
"每日坚果","高蛋白"
"豆奶","低热量"
"鸡枞(油炸)","高热量"
"鸡枞(油炸)","高脂肪"
"鸡枞(油炸)","高纤维"
"波利 海苔片","高热量"
"波利 海苔片","高糖"
"波利 海苔片","高脂肪"
"螺旋藻(干)","高热量"
"螺旋藻(干)","高蛋白"
"鸿喜菇","低热量"
"鸡油菌","低热量"
"松蘑(干)","高热量"
"松蘑(干)","高糖"
"松蘑(干)","高蛋白"
"干巴菌","低热量"
"干巴菌","高纤维"
"大褐菇","低热量"
"发菜(干)","高热量"
"发菜(干)","高糖"
"发菜(干)","高蛋白"
"发菜(干)","高纤维"
"青头菌","低热量"
"黄伞菇(干)","高热量"
"黄伞菇(干)","高糖"
"黄伞菇(干)","高蛋白"
"掌状红皮藻","高热量"
"掌状红皮藻","高蛋白"
"榛蘑(干)","高纤维"
"海冻菜","高热量"
"海冻菜","高糖"
"黄蘑(水发)","低热量"
"黄蘑(水发)","高纤维"
"红奶浆菌","低热量"
"地衣(水浸)","低热量"
"普中红蘑(干)","高热量"
"普中红蘑(干)","高糖"
"普中红蘑(干)","高蛋白"
"普中红蘑(干)","高纤维"
"北风菌","低热量"
"白牛肝菌(干)","高热量"
"白牛肝菌(干)","高糖"
"白牛肝菌(干)","高蛋白"
"乳牛肝菌(干)","高热量"
"乳牛肝菌(干)","高糖"
"乳牛肝菌(干)","高蛋白"
"黄皮牛肝菌","低热量"
"黄皮牛肝菌","高纤维"
"雅玛屋 一品海藻丝","高纤维"
"白牛肝菌","低热量"
"丰科 仙菇道蟹味菇","低热量"
"牛眼睛菌","高纤维"
"琼脂","高热量"
"琼脂","高糖"
"黄蘑(干)","高热量"
"黄蘑(干)","高蛋白"
"血红菇(干)","高热量"
"血红菇(干)","高糖"
"血红菇(干)","高蛋白"
"丰科 仙菇道白玉菇","低热量"
"鸡枞花","低热量"
"阿一波 牌海峡紫菜","高热量"
"阿一波 牌海峡紫菜","高蛋白"
"阿一波 牌海峡紫菜","高纤维"
"福月堂 胶膏(苦涩味)","高热量"
"福月堂 胶膏(苦涩味)","高脂肪"
"福月堂 胶膏(苦涩味)","高蛋白"
"Waitrose 蘑菇汤","高热量"
"Waitrose 蘑菇汤","高糖"
"Waitrose 蘑菇汤","高纤维"
"鸡枞(干)","高热量"
"鸡枞(干)","高蛋白"
"元蘑(干)","高热量"
"元蘑(干)","高糖"
"元蘑(干)","高蛋白"
"香杏片口蘑(干)","高热量"
"香杏片口蘑(干)","高蛋白"
"香杏片口蘑(干)","高纤维"
